ecmf prod rf 1997052500 20150525 11 046
0504 pf 03 -0.516 -1.834  1.905 2
0504 pf 04 -1.617 -1.172  1.997 1
0504 pf 05 -1.411 -0.843  1.644 1
0504 pf 06  0.628 -1.227  1.379 3
0504 pf 07 -0.153 -1.784  1.791 2
0504 pf 08 -1.051 -0.540  1.182 1
0504 pf 09 -1.678 -0.165  1.686 1
0504 pf 10 -1.139 -2.043  2.339 2
0528 em 00 -0.856 -1.225  1.495 2
0528 cf 00 -1.120 -1.046  1.532 1
0528 pf 01 -1.340 -1.434  1.963 2
0528 pf 02 -1.005 -0.679  1.213 1
0528 pf 03 -0.400 -1.946  1.987 2
0528 pf 04 -1.622 -1.592  2.273 1
0528 pf 05 -1.234 -0.991  1.583 1
0528 pf 06  0.960 -1.134  1.486 3
0528 pf 07 -0.071 -1.561  1.563 2
0528 pf 08 -0.932 -1.015  1.378 2
0528 pf 09 -1.488 -0.222  1.504 1
0528 pf 10 -0.836 -1.994  2.162 2
0552 em 00 -0.669 -1.412  1.562 2
0552 cf 00 -0.600 -1.264  1.400 2
0552 pf 01 -1.255 -1.549  1.994 2
0552 pf 02 -0.552 -0.790  0.964 2
0552 pf 03 -0.322 -2.034  2.059 2
0552 pf 04 -1.573 -1.859  2.436 2
0552 pf 05 -1.120 -1.389  1.785 2
0552 pf 06  1.087 -1.043  1.506 4
0552 pf 07  0.351 -1.692  1.728 3
0552 pf 08 -0.895 -1.413  1.672 2
0552 pf 09 -1.664 -0.661  1.791 1
0552 pf 10 -0.499 -1.949  2.012 2
0576 em 00 -0.409 -1.448  1.505 2
0576 cf 00 -0.238 -1.142  1.166 2
0576 pf 01 -1.024 -1.788  2.061 2
0576 pf 02 -0.244 -0.967  0.997 2
0576 pf 03 -0.114 -1.760  1.764 2
0576 pf 04 -1.370 -1.881  2.326 2
0576 pf 05 -0.932 -1.870  2.090 2
0576 pf 06  1.086 -0.751  1.320 4
0576 pf 07  0.902 -1.245  1.538 3
0576 pf 08 -0.772 -1.670  1.840 2
0576 pf 09 -1.548 -0.907  1.794 1
0576 pf 10  0.050 -2.037  2.038 3
0600 em 00 -0.259 -1.300  1.325 2
0600 cf 00  0.064 -0.894  0.896 3
0600 pf 01 -0.838 -1.594  1.801 2
0600 pf 02 -0.416 -0.873  0.967 2
0600 pf 03  0.073 -1.508  1.510 3
0600 pf 04 -0.857 -1.812  2.004 2
0600 pf 05 -0.784 -2.048  2.193 2
0600 pf 06  1.004 -0.382  1.074 4
0600 pf 07  1.064 -1.248  1.640 3
0600 pf 08 -0.635 -1.106  1.275 2
0600 pf 09 -1.477 -1.196  1.901 1
0600 pf 10  0.257 -1.731  1.750 3
0624 em 00 -0.040 -1.235  1.236 2
0624 cf 00  0.363 -0.965  1.031 3
0624 pf 01 -0.632 -1.686  1.800 2
0624 pf 02 -0.419 -0.949  1.038 2
0624 pf 03  0.264 -0.887  0.925 3
0624 pf 04 -0.523 -2.095  2.159 2
0624 pf 05 -0.717 -2.469  2.572 2
0624 pf 06  1.105 -0.319  1.151 4
0624 pf 07  1.545 -0.922  1.799 4
0624 pf 08 -0.109 -0.926  0.933 2
0624 pf 09 -1.415 -1.064  1.770 1
0624 pf 10  0.425 -1.407  1.470 3
0648 em 00  0.140 -1.138  1.146 3
0648 cf 00  0.371 -0.938  1.008 3
0648 pf 01 -0.275 -1.552  1.576 2
0648 pf 02 -0.615 -0.691  0.925 2
0648 pf 03  0.313 -0.505  0.594 3
0648 pf 04 -0.068 -2.204  2.205 2
0648 pf 05 -0.316 -2.471  2.491 2
0648 pf 06  1.169 -0.434  1.246 4
0648 pf 07  1.543 -0.657  1.678 4
0648 pf 08  0.198 -0.786  0.811 3
0648 pf 09 -1.378 -1.033  1.722 1
0648 pf 10  0.923 -1.310  1.602 3
0672 em 00  0.254 -1.137  1.165 3
0672 cf 00  0.402 -0.922  1.005 3
0672 pf 01 -0.315 -1.755  1.783 2
0672 pf 02 -0.370 -0.881  0.956 2
0672 pf 03  0.136 -0.065  0.150 4
0672 pf 04  0.388 -2.511  2.541 3
0672 pf 05  0.057 -2.515  2.516 3
0672 pf 06  1.233 -0.331  1.276 4
0672 pf 07  1.342 -0.642  1.487 4
0672 pf 08  0.473 -0.601  0.765 3
0672 pf 09 -1.170 -1.256  1.717 2
0672 pf 10  0.903 -1.077  1.406 3
0696 em 00  0.363 -1.132  1.189 3
0696 cf 00  0.454 -1.031  1.126 3
0696 pf 01 -0.344 -1.778  1.811 2
0696 pf 02 -0.085 -0.863  0.867 2
0696 pf 03  0.063 -0.126  0.140 3
0696 pf 04  0.902 -2.264  2.437 3
0696 pf 05  0.445 -2.358  2.400 3
0696 pf 06  1.316  0.063  1.318 5
0696 pf 07  1.381 -0.869  1.632 4
0696 pf 08  0.069 -0.598  0.602 3
0696 pf 09 -1.034 -1.456  1.786 2
0696 pf 10  1.074 -1.189  1.602 3
0720 em 00  0.490 -1.080  1.186 3
0720 cf 00  0.441 -1.111  1.195 3
0720 pf 01 -0.165 -2.137  2.144 2
0720 pf 02  0.078 -0.826  0.830 3
0720 pf 03 -0.108 -0.200  0.227 2
0720 pf 04  0.945 -2.412  2.591 3
0720 pf 05  1.147 -2.064  2.361 3
0720 pf 06  1.442  0.562  1.548 5
0720 pf 07  1.282 -0.627  1.427 4
0720 pf 08  0.091 -0.293  0.307 3
0720 pf 09 -0.486 -1.376  1.459 2
0720 pf 10  0.934 -1.384  1.670 3
0744 em 00  0.689 -1.097  1.296 3
0744 cf 00  0.136 -1.094  1.103 3
0744 pf 01  0.370 -2.119  2.151 3
0744 pf 02  0.163 -1.291  1.301 3
0744 pf 03 -0.062 -0.595  0.598 2
0744 pf 04  1.276 -1.904  2.292 3
0744 pf 05  1.370 -1.916  2.355 3
0744 pf 06  1.568  0.702  1.718 5
0744 pf 07  1.425 -0.607  1.549 4
0744 pf 08  0.539 -0.146  0.558 4
0744 pf 09 -0.262 -1.745  1.765 2
0744 pf 10  1.244 -1.301  1.800 3
0768 em 00  0.912 -1.120  1.444 3
0768 cf 00 -0.170 -1.222  1.233 2
0768 pf 01  0.925 -2.100  2.294 3
0768 pf 02  0.093 -1.631  1.633 3
0768 pf 03 -0.163 -0.784  0.801 2
0768 pf 04  1.750 -1.671  2.420 4
0768 pf 05  1.717 -1.538  2.305 4
0768 pf 06  1.526  0.645  1.656 5
0768 pf 07  1.713 -0.455  1.773 4
0768 pf 08  1.248 -0.271  1.277 4
0768 pf 09  0.057 -1.957  1.958 3
0768 pf 10  1.478 -1.214  1.912 4
0792 em 00  0.963 -1.009  1.395 3
0792 cf 00 -0.190 -1.184  1.199 2
0792 pf 01  1.084 -1.846  2.141 3
0792 pf 02  0.150 -2.013  2.018 3
0792 pf 03 -0.118 -0.782  0.790 2
0792 pf 04  1.931 -1.384  2.376 4
0792 pf 05  1.755 -1.283  2.174 4
0792 pf 06  1.296  0.862  1.556 5
0792 pf 07  1.598 -0.271  1.620 4
0792 pf 08  1.170 -0.266  1.200 4
0792 pf 09  0.359 -2.047  2.078 3
0792 pf 10  1.672 -0.733  1.826 4
0816 em 00  0.952 -0.886  1.301 4
0816 cf 00  0.002 -1.290  1.290 3
0816 pf 01  1.450 -1.821  2.328 3
0816 pf 02  0.311 -1.705  1.734 3
0816 pf 03 -0.134 -0.616  0.630 2
0816 pf 04  1.595 -1.539  2.216 4
0816 pf 05  1.813 -0.697  1.942 4
0816 pf 06  1.195  0.997  1.556 5
0816 pf 07  1.267 -0.333  1.310 4
0816 pf 08  0.734 -0.292  0.790 4
0816 pf 09  0.686 -1.925  2.044 3
0816 pf 10  1.634 -0.355  1.672 4
0840 em 00  0.867 -0.735  1.136 4
0840 cf 00  0.158 -1.300  1.310 3
0840 pf 01  1.536 -1.652  2.256 3
0840 pf 02  0.008 -1.945  1.945 3
0840 pf 03 -0.354 -0.333  0.486 1
0840 pf 04  1.437 -1.144  1.836 4
0840 pf 05  1.917 -0.280  1.938 4
0840 pf 06  0.868  1.101  1.402 6
0840 pf 07  1.133 -0.016  1.133 4
0840 pf 08  0.534 -0.302  0.614 4
0840 pf 09  1.127 -2.047  2.336 3
0840 pf 10  1.236 -0.002  1.236 4
0864 em 00  0.893 -0.596  1.073 4
0864 cf 00  0.170 -1.273  1.284 3
0864 pf 01  1.823 -1.202  2.183 4
0864 pf 02  0.200 -1.882  1.892 3
0864 pf 03 -0.217 -0.113  0.245 1
0864 pf 04  1.803 -1.071  2.097 4
0864 pf 05  1.662 -0.165  1.670 4
0864 pf 06  0.408  1.150  1.220 6
0864 pf 07  1.035  0.052  1.036 5
0864 pf 08  0.310 -0.223  0.382 4
0864 pf 09  1.418 -1.831  2.316 3
0864 pf 10  1.263  0.181  1.276 5
0888 em 00  0.960 -0.394  1.038 4
0888 cf 00  0.115 -1.420  1.425 3
0888 pf 01  1.785 -0.951  2.022 4
0888 pf 02  0.528 -1.900  1.972 3
0888 pf 03 -0.091  0.342  0.354 7
0888 pf 04  1.862 -0.798  2.026 4
0888 pf 05  1.541  0.495  1.618 5
0888 pf 06  0.176  1.153  1.166 6
0888 pf 07  1.018  0.327  1.069 5
0888 pf 08  0.512 -0.303  0.595 4
0888 pf 09  1.650 -1.629  2.319 4
0888 pf 10  1.511  0.528  1.601 5
0912 em 00  1.013 -0.187  1.030 4
0912 cf 00  0.181 -1.386  1.398 3
0912 pf 01  1.778 -0.504  1.848 4
0912 pf 02  1.147 -1.361  1.779 3
0912 pf 03 -0.460  0.237  0.517 8
0912 pf 04  1.923 -0.668  2.036 4
0912 pf 05  1.158  0.919  1.479 5
0912 pf 06  0.172  1.275  1.286 6
0912 pf 07  1.131  0.559  1.261 5
0912 pf 08  0.782 -0.200  0.808 4
0912 pf 09  1.742 -1.226  2.130 4
