Date_day0,RMM1_0,RMM2_0,RMM1_obs,RMM2_obs,RMM1_pf1,RMM2_pf1,RMM1_pf2,RMM2_pf2,RMM1_pf3,RMM2_pf3,RMM1_pf4,RMM2_pf4,RMM1_pf5,RMM2_pf5,RMM1_pf6,RMM2_pf6,RMM1_pf7,RMM2_pf7,RMM1_pf8,RMM2_pf8,RMM1_pf9,RMM2_pf9,RMM1_pf10,RMM2_pf10,RMM1_pf11,RMM2_pf11
2004-06-01,0.38791924715042114,-0.3917139768600464,0.831210196018219,-0.3952766954898834,0.209,-0.43200000000000005,-0.831,-0.866,-0.401,-0.195,1.265,0.253,0.632,-1.186,0.884,-0.113,0.7509999999999999,0.465,0.973,-0.777,0.41,-0.174,0.74,-0.713,0.643,0.146
2004-06-04,0.08234592527151108,-0.2329893857240677,0.8104121088981628,0.40089160203933716,-0.11199999999999999,-0.243,0.728,-0.23,-0.728,0.249,0.18,0.188,-0.5870000000000001,-0.621,0.05,-0.33899999999999997,1.2790000000000001,-0.275,-0.941,-0.6990000000000001,-0.835,0.674,0.586,-0.41600000000000004,0.218,0.095
2004-06-08,0.018917763605713844,-0.3170132040977478,0.5637891888618469,1.5938421487808228,0.589,0.772,0.877,2.58,0.39899999999999997,1.218,-0.322,1.192,1.1159999999999999,1.4580000000000002,0.9520000000000001,0.992,0.462,1.3719999999999999,0.374,1.347,1.9880000000000002,1.854,0.956,0.489,1.081,1.345
2004-06-11,0.6200956106185913,-0.47938334941864014,0.3360033631324768,1.3927019834518433,0.387,0.872,-0.8340000000000001,0.585,0.997,1.254,0.677,1.334,0.629,0.7859999999999999,0.575,0.616,0.631,1.17,-0.179,1.4769999999999999,-0.8109999999999999,1.047,0.33299999999999996,1.946,0.6679999999999999,1.806
2004-06-15,0.8104121088981628,0.40089160203933716,-0.08593463897705078,1.7371047735214233,0.188,1.0070000000000001,1.255,1.327,0.08199999999999999,1.962,-0.708,1.445,-0.662,0.831,0.5589999999999999,1.2930000000000001,-0.555,1.06,-0.8320000000000001,1.053,0.18899999999999997,2.823,-0.132,1.67,-0.16,1.64
2004-06-18,0.4605092406272888,1.3409647941589355,-0.6930041313171387,2.1458609104156494,-0.19399999999999998,1.4769999999999999,0.031,2.066,-0.504,1.4609999999999999,0.035,2.2030000000000003,-1.06,1.6769999999999998,0.099,1.2690000000000001,-0.456,2.177,0.38,2.255,0.162,0.6409999999999999,-0.22,1.527,-0.7909999999999999,1.624
2004-06-22,0.3360033631324768,1.3927019834518433,-1.860442876815796,0.5142823457717896,-1.194,0.61,-1.7690000000000001,0.6779999999999999,-0.37,1.207,-1.083,1.266,-0.53,1.052,-0.83,1.288,-1.094,1.558,0.319,0.593,-0.132,1.953,-1.036,0.815,-1.2770000000000001,1.175
2004-06-25,0.006273931823670864,1.6906672716140747,-2.3912241458892822,-0.30062466859817505,-1.565,-0.428,-1.662,-0.491,-1.199,-0.732,-1.181,0.287,-2.35,0.773,-1.077,0.01,-2.229,0.35600000000000004,-0.9359999999999999,-0.55,-1.111,0.249,-1.501,-0.6679999999999999,-0.068,-0.7190000000000001
2004-06-29,-0.6930041313171387,2.1458609104156494,-1.9883450269699097,-0.7138102054595947,-1.564,-1.18,-1.557,-0.6509999999999999,-0.8690000000000001,-1.817,0.095,-0.51,-0.684,-0.941,-1.178,-1.672,-1.425,-0.986,-0.938,-0.447,-1.003,-0.91,-1.9180000000000001,-0.586,-1.061,-0.836
2004-07-02,-1.6356408596038818,0.83948814868927,-1.674831509590149,-0.9334357380867004,-0.9640000000000001,-1.361,-1.2209999999999999,-0.6629999999999999,-0.5539999999999999,0.289,-0.6859999999999999,-1.643,0.342,0.096,-0.861,-0.9640000000000001,-0.6709999999999999,-0.579,-1.028,-1.0490000000000002,-1.365,-0.92,-1.459,-1.348,-1.645,-0.7879999999999999
