ecmf prod rf 2000021800 20160218 11 046
0840 em 00 -0.123  1.008  1.015 7
0840 cf 00  0.084  0.481  0.488 6
0840 pf 01 -0.874  2.327  2.485 7
0840 pf 02 -0.014  0.874  0.874 7
0840 pf 03 -0.919  1.859  2.074 7
0840 pf 04  0.800  0.815  1.142 6
0840 pf 05 -0.070  1.018  1.021 7
0840 pf 06 -0.095 -0.992  0.996 2
0840 pf 07  0.514  0.532  0.740 6
0840 pf 08 -0.622  1.690  1.801 7
0840 pf 09 -0.334  1.607  1.641 7
0840 pf 10  0.050  0.785  0.786 6
0864 em 00 -0.214  0.972  0.995 7
0864 cf 00  0.004  0.526  0.526 6
0864 pf 01 -0.858  2.084  2.253 7
0864 pf 02  0.186  0.961  0.979 6
0864 pf 03 -0.813  1.898  2.065 7
0864 pf 04  0.533  0.908  1.052 6
0864 pf 05 -0.064  1.034  1.036 7
0864 pf 06  0.062 -0.938  0.940 3
0864 pf 07  0.258  0.219  0.339 5
0864 pf 08 -0.801  1.489  1.690 7
0864 pf 09 -0.756  1.679  1.841 7
0864 pf 10 -0.215  0.725  0.756 7
0888 em 00 -0.241  0.904  0.936 7
0888 cf 00 -0.079  0.469  0.476 7
0888 pf 01 -0.508  1.639  1.716 7
0888 pf 02  0.194  0.920  0.940 6
0888 pf 03 -0.698  1.635  1.778 7
0888 pf 04  0.127  1.097  1.104 6
0888 pf 05 -0.090  0.853  0.857 7
0888 pf 06  0.013 -0.867  0.867 3
0888 pf 07  0.014  0.243  0.244 6
0888 pf 08 -0.512  1.422  1.511 7
0888 pf 09 -0.836  1.743  1.934 7
0888 pf 10 -0.337  0.659  0.740 7
0912 em 00 -0.293  0.930  0.975 7
0912 cf 00  0.333  0.518  0.616 6
0912 pf 01 -0.247  1.785  1.802 7
0912 pf 02  0.272  0.930  0.969 6
0912 pf 03 -0.807  1.694  1.876 7
0912 pf 04 -0.290  1.157  1.192 7
0912 pf 05 -0.081  0.346  0.355 7
