ecmf prod rf 1996071300 20150713 11 046
0696 pf 09 -0.612 -0.462  0.767 1
0696 pf 10 -0.168  0.668  0.688 7
0720 em 00  0.053  0.235  0.241 6
0720 cf 00  0.105 -1.055  1.060 3
0720 pf 01  0.286 -0.047  0.290 4
0720 pf 02  0.681  0.250  0.725 5
0720 pf 03  0.015  1.596  1.596 6
0720 pf 04 -0.075  0.140  0.159 7
0720 pf 05 -0.219 -0.055  0.226 1
0720 pf 06 -0.072  0.986  0.988 7
0720 pf 07  0.009  0.929  0.929 6
0720 pf 08  0.110 -0.107  0.153 4
0720 pf 09 -0.264  0.134  0.296 8
0720 pf 10  0.025 -0.138  0.140 3
0744 em 00  0.037  0.146  0.150 6
0744 cf 00  0.178 -1.106  1.120 3
0744 pf 01  0.317 -0.261  0.411 4
0744 pf 02  0.789  0.016  0.789 5
0744 pf 03 -0.612  1.345  1.477 7
0744 pf 04  0.094  0.185  0.208 6
0744 pf 05 -0.117  0.210  0.240 7
0744 pf 06 -0.178  0.891  0.909 7
0744 pf 07 -0.201  0.780  0.806 7
0744 pf 08  0.261 -0.197  0.327 4
0744 pf 09 -0.277  0.412  0.496 7
0744 pf 10  0.118 -0.628  0.638 3
0768 em 00  0.032  0.110  0.114 6
0768 cf 00  0.298 -0.911  0.958 3
0768 pf 01  0.390 -0.111  0.406 4
0768 pf 02  0.415 -0.537  0.679 3
0768 pf 03 -0.914  1.246  1.545 7
0768 pf 04  0.323  0.336  0.466 6
0768 pf 05  0.080  0.562  0.568 6
0768 pf 06 -0.051  0.834  0.836 7
0768 pf 07 -0.455  0.722  0.854 7
0768 pf 08  0.263 -0.327  0.420 3
0768 pf 09 -0.205  0.198  0.285 8
0768 pf 10  0.128 -0.779  0.790 3
0792 em 00  0.087  0.139  0.164 6
0792 cf 00  0.431 -0.735  0.852 3
0792 pf 01  0.557 -0.039  0.558 4
0792 pf 02  0.152 -0.362  0.393 3
0792 pf 03 -1.074  1.233  1.636 7
0792 pf 04  0.492  0.544  0.733 6
0792 pf 05  0.150  0.560  0.580 6
0792 pf 06  0.135  0.838  0.848 6
0792 pf 07 -0.375  0.395  0.544 7
0792 pf 08  0.369 -0.238  0.439 4
0792 pf 09 -0.087  0.075  0.115 8
0792 pf 10  0.105 -0.730  0.737 3
0816 em 00  0.230  0.102  0.252 5
0816 cf 00  0.438 -0.435  0.618 4
0816 pf 01  1.097  0.146  1.106 5
0816 pf 02  0.751 -0.242  0.789 4
0816 pf 03 -1.060  1.218  1.615 7
0816 pf 04  0.517  0.395  0.651 5
0816 pf 05  0.179  0.320  0.367 6
0816 pf 06  0.207  0.566  0.602 6
0816 pf 07 -0.426 -0.059  0.430 1
0816 pf 08  0.277 -0.180  0.331 4
0816 pf 09 -0.063 -0.114  0.130 2
0816 pf 10  0.509 -0.497  0.711 4
0840 em 00  0.301  0.193  0.358 5
0840 cf 00  0.161 -0.215  0.269 3
0840 pf 01  1.037  0.301  1.080 5
0840 pf 02  1.164 -0.172  1.177 4
0840 pf 03 -0.866  1.121  1.416 7
0840 pf 04  0.535  0.516  0.743 5
0840 pf 05  0.270  0.256  0.372 5
0840 pf 06  0.086  0.545  0.552 6
0840 pf 07 -0.150 -0.211  0.259 2
0840 pf 08  0.149  0.182  0.235 6
0840 pf 09  0.079  0.073  0.108 5
0840 pf 10  0.745 -0.338  0.818 4
0864 em 00  0.342  0.243  0.420 5
0864 cf 00 -0.208 -0.106  0.233 1
0864 pf 01  0.947  0.307  0.995 5
0864 pf 02  1.083 -0.048  1.084 4
0864 pf 03 -0.743  1.340  1.532 7
0864 pf 04  0.598  0.571  0.827 5
0864 pf 05  0.325  0.336  0.467 6
0864 pf 06  0.336  0.675  0.754 6
0864 pf 07 -0.240 -0.557  0.607 2
0864 pf 08  0.416  0.337  0.536 5
0864 pf 09  0.388  0.043  0.391 5
0864 pf 10  0.748 -0.304  0.807 4
0888 em 00  0.362  0.179  0.404 5
0888 cf 00 -0.269  0.137  0.302 8
0888 pf 01  0.849  0.282  0.895 5
0888 pf 02  0.633 -0.066  0.637 4
0888 pf 03 -0.429  1.636  1.691 7
0888 pf 04  0.515  0.433  0.673 5
0888 pf 05  0.416  0.367  0.555 5
0888 pf 06  0.490  0.535  0.725 6
0888 pf 07 -0.227 -0.944  0.970 2
0888 pf 08  0.524 -0.204  0.562 4
0888 pf 09  0.460 -0.180  0.494 4
0888 pf 10  0.943 -0.101  0.948 4
0912 em 00  0.273  0.089  0.288 5
0912 cf 00 -0.156  0.100  0.186 8
0912 pf 01  0.645  0.422  0.771 5
0912 pf 02  0.203 -0.292  0.356 3
0912 pf 03 -0.560  1.265  1.383 7
0912 pf 04  0.581  0.452  0.736 5
0912 pf 05  0.238  0.296  0.380 6
0912 pf 06  0.809  0.412  0.908 5
0912 pf 07 -0.016 -1.183  1.184 2
0912 pf 08  0.134 -0.647  0.661 3
0912 pf 09  0.287 -0.190  0.344 4
0912 pf 10  0.808  0.292  0.859 5
0936 em 00  0.156  0.068  0.171 5
0936 cf 00 -0.018  0.170  0.171 7
0936 pf 01  0.701  0.112  0.710 5
0936 pf 02 -0.446 -0.536  0.698 2
0936 pf 03 -0.676  0.793  1.042 7
0936 pf 04  0.604  0.684  0.913 6
0936 pf 05  0.196  0.258  0.324 6
0936 pf 06  0.641  0.391  0.750 5
0936 pf 07  0.134 -1.223  1.230 3
0936 pf 08  0.023 -0.718  0.718 3
0936 pf 09  0.209  0.430  0.478 6
0936 pf 10  0.331  0.323  0.462 5
0960 em 00  0.057  0.116  0.130 6
0960 cf 00 -0.258  0.231  0.347 8
0960 pf 01  0.457 -0.179  0.490 4
0960 pf 02 -0.736 -0.447  0.861 1
0960 pf 03 -0.877  0.540  1.030 8
0960 pf 04  0.706  0.814  1.078 6
0960 pf 05  0.131  0.138  0.190 6
0960 pf 06  0.576  0.487  0.754 5
0960 pf 07  0.059 -0.782  0.784 3
0960 pf 08  0.237 -0.731  0.769 3
0960 pf 09  0.109  0.725  0.733 6
0960 pf 10  0.223  0.411  0.468 6
0984 em 00  0.029  0.105  0.109 6
0984 cf 00 -0.514  0.191  0.548 8
0984 pf 01  0.219 -0.347  0.411 3
0984 pf 02 -0.985 -0.487  1.099 1
0984 pf 03 -0.805  0.317  0.865 8
0984 pf 04  0.709  1.094  1.303 6
0984 pf 05 -0.002  0.184  0.184 7
0984 pf 06  0.902  0.552  1.058 5
0984 pf 07  0.114 -0.525  0.537 3
0984 pf 08  0.443 -1.022  1.114 3
0984 pf 09  0.203  0.778  0.804 6
0984 pf 10  0.043  0.377  0.379 6
1008 em 00 -0.007  0.040  0.040 7
1008 cf 00 -0.589  0.146  0.607 8
1008 pf 01  0.226 -0.330  0.400 3
1008 pf 02 -1.000 -0.758  1.255 1
1008 pf 03 -0.650  0.361  0.744 8
1008 pf 04  0.590  1.074  1.225 6
1008 pf 05  0.010  0.057  0.058 6
1008 pf 06  0.948  0.466  1.056 5
1008 pf 07 -0.056 -0.334  0.338 2
1008 pf 08  0.303 -0.881  0.932 3
1008 pf 09  0.283  0.424  0.510 6
1008 pf 10 -0.095  0.178  0.201 7
1032 em 00 -0.076  0.004  0.077 8
1032 cf 00 -0.683  0.016  0.683 8
1032 pf 01  0.170 -0.021  0.171 4
1032 pf 02 -0.829 -0.933  1.248 2
1032 pf 03 -0.391  0.328  0.510 8
1032 pf 04  0.335  0.739  0.812 6
1032 pf 05 -0.068 -0.179  0.192 2
1032 pf 06  0.554  0.254  0.609 5
1032 pf 07 -0.393  0.078  0.401 8
1032 pf 08  0.225 -0.893  0.920 3
1032 pf 09  0.371  0.331  0.497 5
1032 pf 10 -0.043  0.298  0.302 7
1056 em 00 -0.061 -0.038  0.072 1
1056 cf 00 -0.753 -0.260  0.797 1
1056 pf 01  0.782  0.315  0.843 5
1056 pf 02 -0.585 -0.934  1.102 2
1056 pf 03  0.164  0.226  0.279 6
1056 pf 04 -0.143  0.683  0.698 7
1056 pf 05  0.118 -0.526  0.539 3
1056 pf 06  0.106  0.045  0.115 5
1056 pf 07 -0.744  0.434  0.861 8
1056 pf 08  0.108 -1.066  1.072 3
1056 pf 09  0.146  0.369  0.397 6
1056 pf 10  0.231  0.277  0.360 6
1080 em 00 -0.011 -0.078  0.078 2
1080 cf 00 -0.903 -0.882  1.262 1
1080 pf 01  1.117  0.139  1.126 5
1080 pf 02 -0.427 -1.051  1.134 2
1080 pf 03 -0.143  0.233  0.273 7
1080 pf 04 -0.017  0.695  0.695 7
1080 pf 05 -0.145 -0.383  0.410 2
1080 pf 06  0.261  0.071  0.270 5
1080 pf 07 -0.790  0.646  1.020 8
1080 pf 08  0.205 -0.941  0.963 3
1080 pf 09  0.049  0.464  0.467 6
1080 pf 10  0.749  0.141  0.762 5
1104 em 00  0.073 -0.079  0.108 3
1104 cf 00 -0.955 -1.238  1.564 2
1104 pf 01  1.352  0.260  1.377 5
1104 pf 02 -0.277 -0.717  0.769 2
1104 pf 03 -0.680  0.375  0.777 8
1104 pf 04  0.632  0.597  0.869 5
1104 pf 05 -0.123 -0.273  0.299 2
1104 pf 06  0.483 -0.007  0.483 4
1104 pf 07 -0.926  0.813  1.232 8
1104 pf 08  0.611 -0.999  1.172 3
1104 pf 09 -0.044  0.243  0.247 7
1104 pf 10  0.799  0.066  0.802 5
