Date_day0,RMM1(0),RMM2(0),RMM1(forecast),RMM2(forecast),RMM1(obs),RMM2(obs)
2005-12-17,0.17401641607284546,-0.2757158875465393,0.45,0.09699999999999999,0.5850252509117126,-0.14616498351097107
2005-12-21,0.7712081074714661,-0.05581801012158394,-0.802,-0.019,-0.3626253604888916,-0.15359026193618774
2005-12-24,-0.16531723737716675,0.13423970341682434,-0.665,0.264,-0.24252857267856598,0.7721189856529236
2005-12-28,-0.3473251461982727,0.16923315823078156,-1.003,-0.237,-1.1425648927688599,-0.12493915855884552
2005-12-31,-1.021762728691101,0.6220710873603821,-0.732,-0.736,-0.5918828845024109,-0.6598905920982361
2006-01-02,-1.1425648927688599,-0.12493915855884552,-0.002,-0.848,0.08135585486888885,-0.8121412992477417
2006-01-06,-0.39410600066185,-0.8654399514198303,0.069,-1.665,0.03561612591147423,-1.2680946588516235
2006-01-09,-0.17954252660274506,-1.0248897075653076,0.706,-1.588,0.7337436079978943,-1.2066404819488525
2006-01-13,0.5777172446250916,-1.4402375221252441,1.6969999999999998,-0.54,1.8862707614898682,-0.04671052470803261
2006-01-16,1.318359613418579,-0.8600759506225586,2.239,0.848,2.270029306411743,1.1811518669128418
2006-01-20,2.300424814224243,0.8604569435119629,0.87,1.7169999999999999,0.5906617641448975,1.9088035821914673
2006-01-23,1.863405704498291,1.5212154388427734,0.374,1.751,0.42342230677604675,2.1760315895080566
2006-01-27,0.4578976631164551,2.222151756286621,-0.893,1.555,-0.816759467124939,1.7102893590927124
2006-01-30,-0.29420599341392517,1.916543960571289,-1.517,1.028,-1.8695921897888184,1.420488715171814
2006-02-03,-1.5881271362304688,1.3986639976501465,-1.682,0.35,-1.74010169506073,0.8467675447463989
2006-02-06,-1.6980366706848145,1.3257559537887573,-0.799,0.33399999999999996,-1.26005220413208,0.43800729513168335
2006-02-10,-1.256093144416809,0.5786942839622498,-0.68,-0.07200000000000001,-1.1800299882888794,-0.23932020366191864
2006-02-13,-1.2977765798568726,0.03567485138773918,-0.825,-0.586,-1.1333560943603516,-0.3275309205055237
2006-02-17,-0.9678310751914978,-0.15548284351825714,-0.228,-1.252,-0.42628368735313416,-1.350486159324646
2006-02-20,-0.8750340342521667,-1.230854868888855,0.198,-1.253,0.4609772264957428,-2.0143699645996094
